molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL2426170,Nc1ccc(NC(=O)Nc2nnc(-c3ccncc3)s2)cc1C(F)(F)F,40000,inactive,380.355,3.8451,3,6,40000,4.397940009
CHEMBL2426171,O=C(Nc1ccc(-n2cncn2)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1,36000,inactive,432.391,3.8436,2,8,36000,4.443697499
CHEMBL2426172,O=C(Nc1ccc(-n2cncn2)c(F)c1)Nc1nnc(-c2ccncc2)s1,14100,inactive,382.384,2.9639,2,8,14100,4.850780887
CHEMBL2426173,Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1-c1cn[nH]c1,16800,inactive,377.433,3.94262,3,6,16800,4.774690718
CHEMBL2426175,O=C(Nc1ccc(-c2cn[nH]c2)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1,14200,inactive,431.403,4.653,3,6,14200,4.847711656
CHEMBL2426176,O=C(Nc1ccc(-n2ccnc2)c(F)c1)Nc1nnc(-c2ccncc2)s1,10000,inactive,381.396,3.5689,2,7,10000,5
CHEMBL4075790,CCN(CC)CCCNc1cc2nc3n(c(=O)c2cc1F)CC/C3=C\c1ccc(C(C)C)cc1,950,active,462.613,5.7471,1,5,950,6.022276395
CHEMBL4633380,CCN(CC)CCNc1cc2nc3n(c(=O)c2cc1F)CC/C3=C\c1ccc(N(C)C)cc1,10000,inactive,449.574,4.2996,1,6,10000,5
CHEMBL4646602,CCN(CC)CCNc1cc2nc3n(c(=O)c2cc1F)CC/C3=C\c1ccc(O)cc1O,10000,inactive,438.503,3.6448,3,7,10000,5
CHEMBL4634570,CCN(CC)CCNc1cc2nc3n(c(=O)c2cc1F)CC/C3=C\c1ccc(O)c(O)c1,10000,inactive,438.503,3.6448,3,7,10000,5
CHEMBL4640831,CCOCCNc1cc2nc3n(c(=O)c2cc1F)CC/C3=C\c1ccc(C(C)C)cc1,10000,inactive,421.516,5.0517,1,5,10000,5
CHEMBL4646791,CC(=O)NCCNc1cc2nc3n(c(=O)c2cc1F)CC/C3=C\c1ccc(C(C)C)cc1,10000,inactive,434.515,4.1513,2,5,10000,5
CHEMBL4644812,CCN(CC)CCNc1cc2nc3n(c(=O)c2cc1F)CCC/C3=C\c1ccc(C(C)C)cc1,10000,inactive,462.613,5.7471,1,5,10000,5
CHEMBL4639747,CCN(CC)CCNc1cc2nc3n(c(=O)c2cc1F)CCC3Cc1ccc(C(C)C)cc1,10000,inactive,450.602,5.1427,1,5,10000,5
CHEMBL4644499,CCN(CC)CCNc1cc2nc3n(c(=O)c2cc1F)CCC3Cc1ccc(C(C)(C)C)cc1,10000,inactive,464.629,5.3168,1,5,10000,5
CHEMBL4641203,CCN(CC)CCNc1cc2nc3n(c(=O)c2cc1F)CCC3Cc1ccc(CC(C)C)cc1,10000,inactive,464.629,5.2178,1,5,10000,5
CHEMBL4643090,CCN(CC)CCNc1cc2nc3n(c(=O)c2cc1F)CCC3Cc1ccc(N(C)C)cc1,10000,inactive,451.59,4.0853,1,6,10000,5
CHEMBL4649676,CCN(CC)CCNc1cc2nc3n(c(=O)c2cc1F)CCC3Cc1ccc(C(C)C)cc1O,10000,inactive,466.601,4.8483,2,6,10000,5
CHEMBL4639300,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)[nH]c(=O)c2cc1F,10000,inactive,436.575,5.4998,2,4,10000,5
CHEMBL4633662,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(CCCl)c(=O)c2cc1F,800,active,499.074,6.212,1,5,800,6.096910013
CHEMBL4633612,CCN(CC)CCNc1cc2nc3c(cc2cc1F)CC/C3=C\c1ccc(C(C)C)cc1,10000,inactive,431.599,6.7378,1,3,10000,5
CHEMBL4641826,CC(C)c1ccc(/C=C2\CCc3c2nc2ccccc2c3NCCCN(C)C)cc1,10000,inactive,399.582,6.2086,1,3,10000,5
CHEMBL4645157,CCc1ccc(/C=C2\CCc3c2nc2ccccc2c3NCCCN(CC)CC)cc1,10000,inactive,413.609,6.4278,1,3,10000,5
CHEMBL4644530,CCN(CC)CCCNc1c2c(nc3ccccc13)/C(=C/c1ccc(CC(C)C)cc1)CC2,10000,inactive,441.663,7.0639,1,3,10000,5
CHEMBL5398979,CCCn1c(/C=C/c2ccc(C(C)C)cc2)nc2cc(NCCCN(CC)CC)c(F)cc2c1=O,10000,inactive,478.656,6.3832,1,5,10000,5
CHEMBL5409326,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(CCOC(C)=O)c(=O)c2cc1F,10000,inactive,522.665,5.5363,1,7,10000,5
CHEMBL5433468,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(CCN(C)C)c(=O)c2cc1F,10000,inactive,507.698,5.5348,1,6,10000,5
CHEMBL5408479,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(CCCOC(C)C)c(=O)c2cc1F,10000,inactive,536.736,6.7883,1,6,10000,5
CHEMBL5408083,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(CCCN3CCOCC3)c(=O)c2cc1F,10000,inactive,563.762,5.6955,1,7,10000,5
CHEMBL5406659,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(CCC#N)c(=O)c2cc1F,10000,inactive,489.639,5.88688,1,6,10000,5
CHEMBL5425282,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(CCc3ccccc3)c(=O)c2cc1F,10000,inactive,540.727,7.2159,1,5,10000,5
CHEMBL5439207,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(Cc3ccccc3)c(=O)c2cc1F,10000,inactive,526.7,7.0215,1,5,10000,5
CHEMBL5436259,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(CC3CCOCC3)c(=O)c2cc1F,32000,inactive,534.72,6.3998,1,6,32000,4.494850022
CHEMBL5430184,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(CCCO)c(=O)c2cc1F,32000,inactive,494.655,5.3556,2,6,32000,4.494850022
CHEMBL5419427,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(CCCN(CC)CC)c(=O)c2cc1F,32000,inactive,549.779,6.7051,1,6,32000,4.494850022
CHEMBL5423610,CCN(CC)CCCNc1cc2nc(/C=C/c3ccc(C(C)C)cc3)n(Cc3ccc(Br)cc3)c(=O)c2cc1F,800,active,605.596,7.784,1,5,800,6.096910013
CHEMBL3108800,Cc1nnc2c3ccccc3c(-c3ccc(N4CCOCC4)c(NS(C)(=O)=O)c3)nn12,158.49,active,438.513,2.46102,1,8,158.49,6.799998135
CHEMBL3108781,Cc1ccc(-c2nn3c(C)nnc3c3ccccc23)cc1S(=O)(=O)N(C)C,251.19,active,381.461,2.81164,0,6,251.19,6.599997654
CHEMBL3110357,Cc1ccc(-c2nn3c(C)nnc3c3ccccc23)cc1NS(C)(=O)=O,501.19,active,367.434,2.93284,1,6,501.19,6.299997603
